month,scenario,model_base_pp,jkh_pct,jkh_pp,veg_dev_pp,veg_pp,fuel_pct,fuel_pp,cpi_mom_pct,cpi_index,note
2026-08,Центральный (nowcast),0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.5,100.5,"Регрессия bridge_w2+veg (+0.485), регрессия bridge_w2 (+0.492), Ensemble (+0.497) — сходятся"
2026-08,Нижняя граница,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.2,veg-обусловленный мост; топливо дешевеет быстрее
2026-08,Верхняя граница,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,100.8,сырой сезонный гэп (+0.60) + 3-5 недели выше
2026-09,Без индексации ЖКХ,0.76,0.0,0.0,1.5,0.088,-3.0,-0.099,0.75,100.75,Модели 0.76; топливо корректируется; плодоовощи чуть выше нормы
2026-09,ЖКХ приходит в сентябре,0.76,7.5,0.682,1.5,0.088,-3.0,-0.099,1.43,101.43,Индексация масштаба 2024-2025 (+6.5..8.6%)
2026-09,Плодоовощный шок вверх,0.76,0.0,0.0,8.0,0.471,-3.0,-0.099,1.13,101.13,1 s.d. вверх по плодоовощам (resid_sd 7.6 пп)
2026-09,Плодоовощный шок вниз,0.76,0.0,0.0,-8.0,-0.471,-5.0,-0.165,0.12,100.12,1 s.d. вниз + более быстрый откат топлива
2026-10,Без индексации ЖКХ,0.43,0.0,0.0,-0.4,-0.024,-2.0,-0.066,0.34,100.34,Модели 0.43; норма октября +0.52
2026-10,ЖКХ приходит в октябре (профиль ОПР),0.43,7.5,0.682,-0.4,-0.024,-2.0,-0.066,1.02,101.02,Прежний профиль ОПР закладывал окт +1.30
2026-10,ЖКХ уже прошло в сентябре,0.43,0.0,0.0,-0.4,-0.024,-2.0,-0.066,0.34,100.34,Дублирует базовый — вторичные эффекты в ноябре
